Street,Zipcode,Price,Broker
Jesse Owenshof 37,1034 WT, 335.000,Makelaardij Hendriks B.V.
Ruimzicht 5,1068 CL, 230.000,Nieuw West Makelaardij Onroerende Zaken B.V.
Balatonmeerlaan 3,1060 RD, 550.000,RE/MAX PRO
Perseusstraat 4,1033 XG, 274.511,11 Makelaars B.V.
Makassarstraat 46 2,1095 TA, 270.000,Thoma Post Makelaar Amsterdam
Thomas A Kempisstraat 10,1064 LV, 290.000,JLG Real Estate B.V.
"Admiraal de Ruijterweg 31 H, 1057 JV Amsterdam",1057 JV, 900.000,Pappie & Van der Zee Makelaars o/g B.V.
S.f. van Oss-straat 130,1068 JM, 244.500,ERA Van de Steege  Amsterdam-Centrum
"William Barlowlaan 131, 1086 ZR Amsterdam",1086 ZR, 975.000,RET Makelaars
Oeverpad 481,1068 PM, 495.000,Makelaarsland
Rombout Hogerbeetsstraat 4 3,1052 XA, 595.000,Isaak Makelaardij o.g. B.V.
Korte Geuzenstraat 11 Iii,1056 KR, 400.000,Makelaardij Hendriks B.V.
Switi Fase 3 -hoekwoningen Fase 3 A,na, 280.500,Niki
Wiborg-type T,na, 858.540,Niki
De Rapenburger-high-end Appartementen,na, 350.000,Niki
Kuinderstraat 19 Hs,1079 DH, 375.000,Amstel Makelaardij o.g.
"Kometensingel 88, 1033 BX Amsterdam",1033 BX, 895.000,123Makelaar
Willem de Zwijgerlaan 7 2,1056 JD, 325.000,Scholten Vastgoed B.V.
Plantage Doklaan 38,1018 CN, 1.295.000,Makelaarskantoor Draijer
Overtoom 34 2,1054 HK, 799.011,11 Makelaars B.V.
Leeuwenwerf 82,1018 KA, 500.000,Geldhof Makelaardij o.g.
Borneolaan 191 +pp,1019 HX, 470.000,Amsterdam at Home Makelaars
Kerkstraat 261 1,1017 GW, 1.095.000,Makelaardij De Nederlanden B.V.
Oostelijke Handelskade 1199,1019 DN, 525.000,Makelaarsbalie
Brouwersgracht 105 G,1015 GD, 519.000,Hans Kok
Rooseveltlaan 129 2,1079 AJ, 585.000,Francis Helmig makelaardij
Stadhouderskade 148 H,1074 BB, 1.700.000,van der Linden Lelystad
Sportstraat 37-3,1076 TR, 375.000,Amsterdam at Home Makelaars
Van Ostadestraat 62 1,1072 TA, 325.000,Amstelland Makelaars
Ben Viljoenstraat 29,1091 XS, 300.000,Makelaardij Hendriks B.V.
Oosterpark 51,1092 AP, 775.000,Geldhof Makelaardij o.g.
Amsterdam E O 0 Ong,na, 68.000,Wijkhuizen makelaars
Fritz Dietrich Kahlenbergstraat 105,1087 LL, 350.000,Jacobus Recourt B.V.
Reinaert de Vosstraat 15 I,1055 CL, 290.000,Voogd Makelaardij B.V.
Lindengracht 239 H,1015 KH, 625.000,ERA Van de Steege  Amsterdam-Centrum
Bankwerkerij 162,1021 NX, 220.000,ERA Van de Steege  Amsterdam-Centrum
Dirk Bonsstraat 12 Hs,1063 TZ, 285.000,Jaap Admiraal Makelaardij B.V.
Nijenburg 22,1081 GG, 425.000,Fris Makelaardij Amsterdam B.V.
De Egmondenstraat 17,1024 RS, 200.000,ERA Van de Steege  Amsterdam-Centrum
Fagelstraat 68 1,1052 GG, 275.000,Makelaardij Hendriks B.V.
Delistraat 36 H,1094 CX, 369.000,DOEN Makelaars & Taxateurs B.V.
Lizzy Ansinghstraat 8,1072 RD, 345.000,Hallie & van Klooster Makelaardij
Burg Hogguerstraat 335,1064 CR, 200.000,Makelaardij Hendriks B.V.
Roompotstraat 14hs,1078 KV, 739.000,Lengers Housing
Ben van Meerendonkstraat 10,1087 LE, 475.000,ERA Van de Steege  Amsterdam-Centrum
Turnerstraat 11 Hs,1076 VA, 275.000,Collectief makelaars
Osdorpplein 75,1068 EK, 350.000,Makelaarsland
Waalstraat 170 Iii,1079 EH, 319.000,Makelaarsland
Willem Frederik Hermansstraat 47,1011 DG, 425.000,Makelaardij Hendriks B.V.
